id,model,user_id,currency,amount,date,type,is_debit,description,__typename
f3143747-b32e-4f81-b6f3-11627b29a1d5,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,-299,2024-02-15 19:53:39.574000+00:00,CARD_SETTLEMENT,,CRV*APPLECOMBILL APPLE,transactions_view
5384a754-fb87-4a16-b07b-213acf1fc202,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,-22499,2024-02-13 21:04:35.882000+00:00,CARD_SETTLEMENT,,Size?,transactions_view
d0570630-6136-4c56-9c89-7053b85c9225,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,299,2024-02-13 05:31:16.924000+00:00,CARD_REFUND,,,transactions_view
0630891e-f02f-4328-8d7c-8d93c15a7c6d,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,-199,2024-02-11 13:41:08.957000+00:00,CARD_SETTLEMENT,,CRV*Costco Wholesale 1,transactions_view
a6ca71ee-82f2-4221-a6e4-0cb85406ec9f,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,-699,2024-02-11 13:40:21.130000+00:00,CARD_SETTLEMENT,,CRV*Costco Wholesale 1,transactions_view
cce97c4a-a394-40c6-8f1f-a4a641ee0199,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,-3362,2024-02-11 13:29:37.459000+00:00,CARD_SETTLEMENT,,CRV*COSTCO PFS STEVENA,transactions_view
e9cb2074-3cb8-4513-a837-dbbd3ae03a3d,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,-250,2024-02-11 01:39:10.333000+00:00,CARD_SETTLEMENT,,DART CHARGE AUTO TOP,transactions_view
4988a2af-1daf-4459-8c50-042e9c41f349,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,-144,2024-02-10 18:51:32.779000+00:00,CARD_SETTLEMENT,,CRV*HEROKU* JAN 921682,transactions_view
02eb4dfb-9f3b-49cb-a630-a12313d2ed55,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,-2563,2024-02-10 17:30:35.271000+00:00,CARD_SETTLEMENT,,CRV*COSTCO PFS CANENDI,transactions_view
b44b76ea-f6d0-45a3-91f9-2578d5f55120,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,-985,2024-02-10 10:53:37.884000+00:00,CARD_SETTLEMENT,,CRV*MCDONALDS PARAL LE,transactions_view
2fafbec4-c953-4a2c-b646-0077690abefd,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,-1902,2024-02-10 10:50:13.059000+00:00,CARD_SETTLEMENT,,CRV*TESCO STORES 2202B,transactions_view
28051d71-1968-47a8-a2db-f7b7738d1211,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,-1600,2024-02-10 10:48:57.207000+00:00,CARD_SETTLEMENT,,CRV*TESCO PFS 4195BROA,transactions_view
4aec2131-bb6e-43c1-88c3-8b533267d762,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,-299,2024-02-10 07:04:32.550000+00:00,CARD_SETTLEMENT,,CRV*APPLECOMBILLHollyh,transactions_view
692c5d64-be17-4ca5-a0ec-0a5549da4e45,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,-1712,2024-02-10 05:45:55.441000+00:00,CARD_SETTLEMENT,,CRV*COSTCO PFS CANENDI,transactions_view
2a5b4c67-67db-4a4d-a177-3e0cbee17dfe,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,-1735,2024-02-10 05:42:15.393000+00:00,CARD_SETTLEMENT,,CRV*TRAINLINETRAINLINE,transactions_view
f53a5aba-e925-4e18-b987-b565bbb059fe,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,-499,2024-02-10 05:41:11.111000+00:00,CARD_SETTLEMENT,,CRV*AWS EMEA38 avenue,transactions_view
8c337d6d-0082-41d6-9a8d-d8d31f5565ec,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,-1499,2024-02-10 05:39:46.790000+00:00,CARD_SETTLEMENT,,CRV*EXPERIAN UKEXPERIA,transactions_view
8346c704-a9aa-4013-bc74-9700bd557be9,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,-5800,2024-02-08 13:06:47.587000+00:00,CARD_SETTLEMENT,,CRV*Tooth Club Stevena,transactions_view
96627df8-c34f-4d84-a5c1-d1b8ce356562,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,6000,2024-02-08 05:50:32.239000+00:00,CARD_REFUND,,,transactions_view
21dce3af-3892-48e3-b72c-f46209412707,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,46327,2024-02-08 05:50:32.141000+00:00,CARD_REFUND,,,transactions_view
1b96a9b6-8ba2-413f-b903-246933c1cc9b,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,1735,2024-02-04 06:09:17.911000+00:00,CARD_REFUND,,,transactions_view
d0d18088-1fac-40a3-94dd-01c36126c9bf,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,11833,2024-02-04 06:09:17.845000+00:00,CARD_REFUND,,,transactions_view
762e5889-10ab-4c0d-88b3-25015eb6500a,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,8572,2024-02-03 05:55:51.446000+00:00,CARD_REFUND,,,transactions_view
b2af1998-2bad-4010-9d73-ca1ac62b0ff6,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,536,2024-02-03 05:55:51.386000+00:00,CARD_REFUND,,,transactions_view
86d0068b-ac21-4961-9d79-0d3c0375b00a,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,5000,2024-02-03 05:55:51.330000+00:00,CARD_REFUND,,,transactions_view
73212846-883c-4bcb-b31a-11d160e78622,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,622,2024-02-03 05:55:51.263000+00:00,CARD_REFUND,,,transactions_view
ed204220-b650-4a6b-97ec-193e8f698e57,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,3981,2024-02-03 05:55:51.199000+00:00,CARD_REFUND,,,transactions_view
1dcb475d-a9b1-421a-9ae2-8cff28d081c7,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,6720,2024-02-03 05:55:51.138000+00:00,CARD_REFUND,,,transactions_view
33bf1e6d-bef1-4b97-9391-b419d2f0b5c9,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,3773,2024-02-03 05:55:51.074000+00:00,CARD_REFUND,,,transactions_view
cd749438-eabe-4f4a-8e86-af2c46504c8d,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,1096,2024-02-03 05:55:51.063000+00:00,CARD_REFUND,,,transactions_view
99446f92-6418-4849-987b-baa4c76a9e25,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,9914,2024-02-03 05:55:51.063000+00:00,CARD_REFUND,,,transactions_view
6be513fb-727d-407b-a59c-3ea2eb02a183,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,-4,2024-02-01 20:28:20.749000+00:00,CARD_SETTLEMENT,,CLOUD 396VQR,transactions_view
d6315f40-c374-4e05-8b32-56434f63b94a,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,-1735,2024-02-01 08:30:04.432000+00:00,CARD_SETTLEMENT,,CRV*Trainline.Com Lond,transactions_view
9f8db205-1a90-45de-8965-8c47814da8ee,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,-299,2024-01-31 22:40:39.747000+00:00,CARD_SETTLEMENT,,CRV*APPLE.COM BILL Hol,transactions_view
62ad5fd7-2b1f-4aaf-896e-7638ae904ec5,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,-299,2024-01-31 22:39:12.109000+00:00,CARD_SETTLEMENT,,CRV*APPLE.COM BILL Hol,transactions_view
01eefa7b-09a5-47f6-9c20-14df70fb28c6,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,-400,2024-01-31 22:19:59.884000+00:00,CARD_SETTLEMENT,,CRV*Barbican Events Lt,transactions_view
0a8087c0-8437-472a-96a0-a23fd557ac5e,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,-1515,2024-01-31 22:18:47.242000+00:00,CARD_SETTLEMENT,,CRV*WHITE HART - HERTF,transactions_view
bcd88702-3f0c-4797-85b3-417e03d37c2b,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,5315,2024-01-31 22:15:03.463803+00:00,DEPOSIT_FUNDS_RECEIVED,,,transactions_view
57b1d51a-9001-4cf7-a856-ac5b0dd334de,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,-1275,2024-01-31 22:09:30.507000+00:00,CARD_SETTLEMENT,,CRV*ALDI 40 776 FAIRLA,transactions_view
960c7488-26ff-467b-b6cd-35ed0a925cc2,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,1275,2024-01-31 22:08:34.519352+00:00,DEPOSIT_FUNDS_RECEIVED,,,transactions_view
3d199329-7774-4f6f-a792-fb89bff131dd,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,-900,2024-01-31 21:51:16.879000+00:00,CARD_SETTLEMENT,,CRV*Amazon.co.uk 60 Ho,transactions_view
f56a3b25-b101-4fcc-80c9-3a1e0cb399aa,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,-900,2024-01-31 21:48:01.672000+00:00,CARD_SETTLEMENT,,CRV*Amazon.co.uk 60 Ho,transactions_view
7c55b124-ebca-400a-8a75-1292a1a18692,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,5182,2024-01-31 21:46:06.630466+00:00,DEPOSIT_FUNDS_RECEIVED,,,transactions_view
02097f85-af37-41a4-8f8e-bbe7caf3085d,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,-5930,2024-01-30 05:54:48.971000+00:00,CARD_SETTLEMENT,,,transactions_view
05a92518-cc42-40f1-9427-6f64bd6b3f44,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,2000,2024-01-30 05:46:51.662000+00:00,CARD_REFUND,,,transactions_view
b868f1b7-352f-450e-874b-52052473d15b,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,-295,2024-01-29 06:24:09.129000+00:00,CARD_SETTLEMENT,,CRV*TESCO STORES 3213,transactions_view
f045ad14-c2d5-4656-af90-1d43181d3dbd,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,1500,2024-01-29 06:00:36.388000+00:00,CARD_REFUND,,,transactions_view
26a89d41-5505-4bde-a8cb-b50e1bd93ae6,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,-2000,2024-01-28 15:13:24.939000+00:00,CARD_SETTLEMENT,,CRV*ZILCH * Runa Netw,transactions_view
83f9c92a-faee-439b-9318-ef0a2c0d78f7,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,-47486,2024-01-27 10:11:31.077000+00:00,CARD_SETTLEMENT,,CRV*WANIS INTERNATIONA,transactions_view
f2f350e3-05a6-4cf9-9b51-10f686280b86,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,-1500,2024-01-27 09:36:36.625000+00:00,CARD_SETTLEMENT,,CRV*ZILCH * AIRTIME R,transactions_view
56a8da50-2e37-4f3b-bc0c-4c82e3243161,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,-13996,2024-01-27 07:54:26.038000+00:00,CARD_SETTLEMENT,,CRV*JUMBO UK LTD LONDO,transactions_view
92cc5acf-e087-446b-b74e-823c3dd80647,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,100,2024-01-26 05:30:57.801000+00:00,CARD_REFUND,,,transactions_view
